schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column,observation_status,observation_source
ingest,graduate_outcomes_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupations_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupations_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupations_uk,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_state_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_state_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_state_uk,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_profiles_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_outlook_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_vacancies_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_regional_employment_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_mobility_flows_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_mobility_stocks_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_pathways_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_shortage_drivers_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,occupation_sa4_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,visa_occupation_status_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,regulatory_requirements_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,program_page_facts_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,state_salary_multiplier,table,,,,,,,,,unavailable,static_migration_analysis
ingest,country_pr_pathways,table,,,,,,,,,unavailable,static_migration_analysis
ingest,shortage_occupations_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,language_schools_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,language_courses_ie,table,,,,,,,,,unavailable,static_migration_analysis
