entity,country_code,actual_count,count_status,resolution_status,observation_source
labour_outcome_observations,GB,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,US,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,CA,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,IE,,unavailable,resolved,static_migration_analysis
claims,AU,,unavailable,relationship_unresolved,static_migration_analysis
claims,GB,,unavailable,relationship_unresolved,static_migration_analysis
claims,US,,unavailable,relationship_unresolved,static_migration_analysis
claims,CA,,unavailable,relationship_unresolved,static_migration_analysis
claims,IE,,unavailable,relationship_unresolved,static_migration_analysis
claims,,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,AU,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,GB,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,US,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,CA,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,IE,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,,,unavailable,relationship_unresolved,static_migration_analysis
review_events,AU,,unavailable,relationship_unresolved,static_migration_analysis
review_events,GB,,unavailable,relationship_unresolved,static_migration_analysis
review_events,US,,unavailable,relationship_unresolved,static_migration_analysis
review_events,CA,,unavailable,relationship_unresolved,static_migration_analysis
review_events,IE,,unavailable,relationship_unresolved,static_migration_analysis
review_events,,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,AU,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,GB,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,US,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,CA,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,IE,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,,,unavailable,relationship_unresolved,static_migration_analysis
