"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Bachelor's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"16.08 Iranian languages, literatures and linguistics","325","170","6,800","15,300","135","9,500","17,600"
"16.09 Romance languages, literatures and linguistics","3,205","2,345","41,600","48,200","2,135","43,600","50,880"
"16.10 Indigenous languages, literatures, and linguistics of the Americas","75","60","48,400","50,000","55","48,400","50,000"
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","940","455","13,400","23,200","375","16,600","24,900"
"16.12 Classics and classical languages, literatures and linguistics","405","145","9,800","28,400","115","18,800","34,000"
"16.13 Celtic languages, literatures and linguistics","20","0","...","...","0","...","..."
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","150","120","33,600","38,500","115","33,600","39,000"
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","100","55","18,800","24,000","35","x","34,000"
"16.16 Sign language","65","60","27,800","31,000","55","27,600","32,000"
"16.17 Second language learning","595","405","45,200","47,600","390","51,600","49,000"
"16.18 Armenian languages, literatures, and linguistics","25","15","x","18,000","0","...","..."
"16.99 Indigenous and foreign languages, literatures and linguistics, other","170","115","45,600","51,000","110","45,600","50,000"
"23. English language and literature/letters","127,020","91,475","41,600","51,950","82,230","45,200","54,350"
"23.01 English language and literature, general","87,065","63,025","42,800","53,200","57,020","46,400","55,650"
"23.13 English rhetoric and composition/writing studies","3,690","3,130","34,800","42,440","2,775","38,000","44,520"
"23.14 English literature","36,255","25,325","39,200","49,920","22,425","43,200","52,150"
"23.99 English language and literature/letters, other","0","0","...","...","0","...","..."
"24. Liberal arts and sciences, general studies and humanities","153,370","112,590","37,600","50,920","101,810","40,800","53,150"
"24.01 Liberal arts and sciences, general studies and humanities","153,370","112,590","37,600","50,920","101,810","40,800","53,150"
"30A Interdisciplinary humanities","13,945","10,095","44,400","54,650","9,285","47,200","56,600"
"30.13 Medieval and renaissance studies","165","155","50,800","45,000","130","56,400","49,000"
"30.21 Holocaust and related studies","0","0","...","...","0","...","..."
"30.22 Classical and ancient studies","3,855","3,010","40,000","51,900","2,765","42,000","53,600"
"30.29 Maritime studies","135","125","107,000","92,000","125","107,000","92,000"
"30.45 History and language/literature","9,335","6,430","46,000","56,200","5,895","49,200","58,400"
"30.47 Linguistics and anthropology","160","130","27,200","33,000","120","27,400","33,000"
"30.51 Integrated philosophy, politics, and economics","75","70","54,800","74,000","70","54,800","74,000"
"30.52 Digital humanities and textual studies","90","75","22,600","29,000","75","21,200","27,000"
"30.53 Thanatology","120","105","38,400","37,500","105","38,400","37,500"
"38. Philosophy and religious studies","30,065","22,410","41,600","55,250","20,085","44,800","56,800"
"38.00 Philosophy and religious studies, general","550","425","43,600","53,200","385","45,600","53,600"
"38.01 Philosophy, logic and ethics","20,190","15,235","42,000","58,450","13,600","45,200","59,800"
"38.02 Religion/religious studies","9,315","6,730","40,000","48,200","6,085","42,400","50,200"
"38.99 Philosophy and religious studies, other","15","15","x","36,000","0","...","..."
"39. Theology and religious vocations","19,600","14,610","39,200","44,800","13,140","42,000","46,520"
"39.02 Bible/Biblical studies","1,740","1,430","38,800","43,480","1,280","41,600","44,080"
"39.03 Missions/missionary studies and missiology","130","85","60,400","68,000","80","60,800","68,000"
"39.04 Religious education","3,750","2,665","35,200","43,920","2,325","37,600","44,360"
"39.05 Religious music and worship","325","270","38,800","38,000","235","39,200","38,400"
"39.06 Theological and ministerial studies","12,530","9,215","40,400","45,120","8,355","43,200","47,440"
"39.07 Pastoral counselling and specialized ministries","1,090","910","40,800","46,000","840","43,600","47,600"
"39.08 Religious institution administration and law","25","15","x","60,000","15","x","60,000"
"39.99 Theology and religious vocations, other","25","0","...","...","0","...","..."
"54. History","76,370","57,650","50,400","63,900","53,365","52,800","65,300"
"54.01 History","76,370","57,650","50,400","63,900","53,365","52,800","65,300"
"55. French language and literature/lettersCAN","29,355","20,450","42,800","49,600","18,725","46,000","51,950"
"55.01 French language and literature, generalCAN","20,305","13,750","47,200","53,050","12,665","50,800","55,400"
"55.13 French rhetoric and composition/writing studiesCAN","700","600","43,600","47,600","540","45,600","49,200"
"55.14 French literatureCAN","8,350","6,100","35,600","42,040","5,520","38,400","44,280"
"55.99 French language and literature/letters, otherCAN","0","0","...","...","0","...","..."
"Social and behavioural sciences and law","998,880","812,110","49,600","65,900","745,210","51,600","65,800"
"05. Area, ethnic, cultural, gender, and group studies","16,400","13,080","41,600","48,920","12,065","43,600","50,160"
"05.01 Area studies","9,260","7,195","44,000","51,900","6,565","46,800","53,450"
"05.02 Ethnic, cultural minority, gender, and group studies","7,125","5,875","40,000","45,280","5,495","41,200","46,240"
"05.99 Area, ethnic, cultural, gender, and group studies, other","0","0","...","...","0","...","..."
"09. Communication, journalism and related programs","110,480","96,470","48,400","56,200","89,100","50,000","57,550"
"09.01 Communication and media studies","72,040","63,895","48,800","56,850","59,595","50,400","58,050"
"09.04 Journalism","17,815","14,655","49,200","56,350","13,090","51,600","58,350"
"09.07 Radio, television and digital communication","5,445","4,475","47,600","57,600","4,000","50,400","59,150"
"09.09 Public relations, advertising and applied communication","13,265","11,820","45,200","52,750","10,950","46,400","53,900"
"09.10 Publishing","160","110","21,800","30,800","95","21,800","28,400"
"09.99 Communication, journalism and related programs, other","1,760","1,525","44,400","52,400","1,370","49,200","56,000"
"19. Family and consumer sciences/human sciences","48,815","37,970","40,400","45,160","35,620","41,600","46,440"
"19.01 Family and consumer sciences/human sciences, general","10,010","5,610","34,400","41,240","5,070","38,000","43,080"
"19.02 Family and consumer sciences/human sciences business services","2,050","1,740","47,200","55,000","1,645","50,000","56,800"
"19.04 Family and consumer economics and related services","45","25","x","26,000","15","x","32,000"
"19.05 Foods, nutrition and related services","14,920","11,920","44,400","48,960","11,130","46,800","50,480"
"19.06 Housing and human environments","245","205","46,000","57,600","200","43,200","56,400"
"19.07 Human development, family studies and related services","15,710","13,890","39,200","42,200","13,345","40,000","42,800"
"19.09 Apparel and textiles","2,390","1,765","30,200","39,680","1,565","34,400","43,160"
"19.10 Work and family studies","1,250","820","42,000","53,300","775","42,400","55,100"
"19.99 Family and consumer sciences/human sciences, other","2,190","1,985","42,000","46,160","1,875","42,400","46,520"
"22. Legal professions and studies","113,315","90,735","63,600","106,700","76,250","64,000","96,400"
"22.00 Non-professional legal studies","3,200","2,850","39,600","46,360","2,745","41,200","47,080"
"22.01 Law (LLB, JD, BCL)","108,700","86,665","66,000","109,600","72,385","66,000","99,000"
"22.02 Legal research and advanced professional studies (post-LLB/JD)","0","0","...","...","0","...","..."
"22.03 Legal support services","1,340","1,165","39,200","44,600","1,070","42,000","46,800"
"22.99 Legal professions and studies, other","75","55","59,200","62,000","45","66,500","74,000"
"30B Interdisciplinary social and behavioural sciences","22,970","19,400","44,400","54,750","18,220","46,000","55,850"
"30.05 Peace studies and conflict resolution","1,280","1,155","40,400","44,200","1,115","40,800","44,300"
"30.11 Gerontology","1,745","1,455","47,600","53,800","1,400","48,000","54,100"
"30.14 Museology/museum studies","135","125","35,600","40,000","115","38,000","43,000"
"30.15 Science, technology and society","70","65","56,000","50,000","55","56,400","56,000"
"30.17 Behavioural sciences","1,315","1,140","37,600","40,500","1,080","39,200","41,700"
"30.20 International/globalization studies","4,045","3,575","39,200","45,240","3,415","39,200","45,360"
"30.23 Intercultural/multicultural and diversity studies","460","390","28,600","34,200","355","29,400","35,600"
"30.25 Cognitive science","1,610","1,395","28,400","43,280","1,330","28,400","42,920"
"30.26 Cultural studies/critical theory and analysis","1,400","1,195","37,200","44,500","1,045","40,000","48,000"
"30.28 Dispute resolution","15","15","x","20,000","15","x","20,000"
"30.31 Human computer interaction","0","0","...","...","0","...","..."
"30.33 Sustainability studies","655","575","18,200","29,800","565","18,200","30,300"
"30.34 Anthrozoology","20","20","x","36,000","0","...","..."
"30.36 Cultural studies and comparative literature","20","20","x","50,000","20","x","50,000"
"30.40 Economics and foreign language/literature","605","440","44,000","81,600","390","52,400","92,400"
"30.44 Geography and environmental studies","2,760","2,470","50,400","57,500","2,320","50,800","58,900"
"30.46 History and political science","6,835","5,370","58,000","73,000","4,990","60,400","74,700"
"42. Psychology","215,510","172,570","43,600","52,100","160,575","45,600","53,500"
"42.01 Psychology, general","188,520","150,745","43,200","52,150","139,980","45,600","53,600"
"42.27 Research and experimental psychology","12,320","9,105","44,000","50,640","8,425","46,400","52,500"
"42.28 Clinical, counselling and applied psychology","14,335","12,415","48,000","51,800","11,895","49,600","52,800"
"42.99 Psychology, other","335","310","23,800","64,000","275","25,800","69,000"
"45. Social sciences","471,390","381,885","52,400","68,100","353,385","54,800","69,900"
"45.01 General social sciences","23,430","18,260","47,600","56,100","17,000","49,600","57,950"
"45.02 Anthropology","20,910","16,515","42,800","49,440","15,135","45,200","51,450"
"45.03 Archaeology","3,670","3,020","38,000","45,280","2,780","40,800","46,760"
"45.04 Criminology","42,950","39,585","54,800","59,850","38,345","56,000","60,550"
"45.05 Demography","160","125","54,000","56,000","125","54,000","56,000"
"45.06 Economics","133,835","105,120","53,600","80,800","94,655","57,200","84,400"
"45.07 Geography and cartography","50,770","39,765","60,400","68,900","36,960","62,800","71,100"
"45.09 International relations and national security studies","7,890","6,625","41,600","52,900","6,150","44,800","54,500"
"45.10 Political science and government","91,920","76,215","54,800","73,500","70,460","57,200","74,300"
"45.11 Sociology","88,975","70,920","50,000","58,650","66,395","52,000","60,350"
"45.12 Urban studies/affairs","1,875","1,530","50,800","59,650","1,400","56,400","61,900"
"45.13 Sociology and anthropology","2,590","2,060","49,600","55,950","1,925","52,400","58,700"
"45.15 Geography and anthropology","260","170","48,400","59,600","165","48,800","62,400"
"45.99 Social sciences, other","2,165","1,975","34,400","40,800","1,900","35,200","41,600"
"Business, management and public administration","1,098,825","933,965","56,400","76,000","872,790","58,400","77,800"
"30.16 Accounting and computer science","760","620","71,000","76,000","580","71,500","80,000"
"44. Public administration and social service professions","77,770","63,995","54,400","54,150","61,350","56,000","55,400"
"44.00 Human services, general","7,800","5,900","58,000","56,200","5,680","58,800","57,550"
"44.02 Community organization and advocacy","50","40","58,000","44,000","30","x","56,000"
"44.04 Public administration","5,460","4,475","50,000","60,250","4,215","52,400","62,300"
"44.05 Public policy analysis","1,135","1,030","49,200","54,600","970","51,600","56,000"
"44.07 Social work","63,290","52,540","54,800","53,400","50,450","56,000","54,600"
"44.99 Public administration and social service professions, other","30","0","...","...","0","...","..."
"52. Business, management, marketing and related support services","1,020,295","869,350","56,400","77,700","810,855","58,400","79,500"
"52.01 Business/commerce, general","315,125","267,335","61,600","91,500","247,465","64,500","94,300"
"52.02 Business administration, management and operations","242,325","205,105","54,000","67,600","192,165","55,600","69,200"
"52.03 Accounting and related services","196,230","165,970","56,800","75,100","154,540","58,400","75,900"
"52.04 Business operations support and assistant services","4,700","3,330","37,200","46,280","3,115","38,800","46,880"
"52.05 Business/corporate communications","1,605","1,465","53,200","62,250","1,400","53,600","62,950"
"52.06 Business/managerial economics","15,490","12,575","59,200","86,800","11,560","61,600","90,600"
"52.07 Entrepreneurial and small business operations","2,025","1,825","49,600","59,350","1,695","52,000","60,750"
"52.08 Finance and financial management services","77,385","66,780","59,600","90,100","62,105","61,600","92,400"
"52.09 Hospitality administration/management","26,035","22,955","33,200","41,600","21,830","34,000","42,280"
"52.10 Human resources management and services","44,050","39,190","57,600","64,200","37,810","58,400","65,100"
"52.11 International business/trade/commerce","11,645","9,560","42,400","53,650","8,755","44,800","56,400"
"52.12 Management information systems and services","8,050","6,860","78,000","82,800","6,510","80,000","84,600"
"52.13 Management sciences and quantitative methods","11,185","10,010","87,000","117,000","9,650","88,000","118,700"
"52.14 Marketing","51,195","44,970","50,800","64,300","41,740","52,800","66,300"
"52.15 Real estate","1,880","1,540","57,600","83,900","1,310","62,000","86,000"
"52.16 Taxation","180","170","37,200","52,800","150","40,000","57,000"
"52.17 Insurance","690","525","31,800","50,200","445","46,800","53,800"
"52.18 General sales, merchandising and related marketing operations","835","675","42,000","61,200","620","44,000","63,800"
"52.19 Specialized sales, merchandising and marketing operations","7,300","6,350","34,400","42,840","5,895","35,600","44,240"
"52.20 Construction management","2,320","2,115","75,500","87,700","2,045","77,000","89,500"
"52.21 Telecommunications management","30","30","51,200","60,000","30","x","56,000"
"52.99 Business, management, marketing and related support services, other","20","0","...","...","0","...","..."
"Physical and life sciences and technologies","373,245","293,560","45,200","57,900","272,900","48,400","59,900"
"26. Biological and biomedical sciences","164,325","132,455","42,000","52,750","124,095","44,400","54,150"
"26.01 Biology, general","89,115","71,955","42,400","52,750","67,620","44,400","53,950"
"26.02 Biochemistry/biophysics and molecular biology","24,405","19,935","47,600","57,450","18,745","50,000","59,100"
"26.03 Botany/plant biology","3,625","2,730","32,000","42,760","2,445","36,400","46,160"
"26.04 Cell/cellular biology and anatomical sciences","2,590","2,065","45,600","59,000","1,925","49,600","61,500"
"26.05 Microbiological sciences and immunology","12,525","9,915","44,000","53,950","9,290","47,600","55,800"
"26.07 Zoology/animal biology","7,525","5,735","38,400","50,160","5,250","42,000","53,100"
"26.08 Genetics","1,920","1,510","46,400","58,950","1,385","50,400","62,050"
"26.09 Physiology, pathology and related sciences","3,575","2,800","29,000","45,600","2,580","31,800","46,560"
"26.10 Pharmacology and toxicology","2,995","2,380","41,600","59,100","2,270","42,800","59,650"
"26.11 Biomathematics, bioinformatics, and computational biology","835","715","45,600","58,700","670","47,600","60,300"
"26.12 Biotechnology","3,420","2,860","37,600","45,120","2,725","38,800","46,240"
"26.13 Ecology, evolution, systematics and population biology","6,800","5,790","44,000","54,300","5,350","46,400","55,450"
"26.14 Molecular medicine","65","40","12,000","22,000","35","5,840","20,000"
"26.15 Neurobiology and neurosciences","4,920","4,020","18,000","34,040","3,815","18,000","34,520"
"26.99 Biological and biomedical sciences, other","0","0","...","...","0","...","..."
"30.01 Biological and physical sciences","106,250","83,650","46,800","59,450","77,360","50,000","61,600"
"30C Other interdisciplinary physical and life sciences","9,225","7,735","46,000","53,850","7,280","47,200","54,450"
"30.10 Biopsychology","3,410","2,905","40,800","48,720","2,730","42,000","49,080"
"30.18 Natural sciences","850","690","39,600","51,500","655","39,200","51,700"
"30.19 Nutrition sciences","2,450","2,085","50,400","51,350","1,970","51,200","51,650"
"30.27 Human biology","1,750","1,425","52,000","67,300","1,330","56,800","69,500"
"30.32 Marine sciences","145","110","65,000","60,000","100","65,000","62,000"
"30.35 Climate science","70","55","39,600","56,000","45","66,000","68,000"
"30.38 Earth systems science","20","20","x","60,000","20","x","60,000"
"30.41 Environmental geosciences","325","310","38,000","56,800","300","38,000","56,400"
"30.42 Geoarchaeology","0","0","...","...","0","...","..."
"30.43 Geobiology","195","145","43,200","58,000","130","43,200","51,000"
"30.50 Mathematics and atmospheric/oceanic science","0","0","...","...","0","...","..."
"40. Physical sciences","91,995","68,625","50,800","66,400","63,160","54,800","69,700"
"40.01 Physical sciences, general","6,655","5,560","70,000","79,600","5,215","73,000","82,600"
"40.02 Astronomy and astrophysics","785","685","60,800","66,600","625","64,500","69,600"
"40.04 Atmospheric sciences and meteorology","760","595","70,000","68,000","550","72,000","71,200"
"40.05 Chemistry","39,305","29,090","46,400","57,300","26,930","49,600","59,950"
"40.06 Geological and Earth sciences/geosciences","22,955","17,245","54,800","80,500","15,750","58,400","84,600"
"40.08 Physics","19,635","14,045","49,200","63,100","12,810","54,800","66,800"
"40.10 Materials sciences","1,535","1,110","47,600","68,000","1,005","49,600","71,800"
"40.11 Physics and astronomy","335","280","27,200","38,800","260","27,400","42,400"
"40.99 Physical sciences, other","20","0","...","...","0","...","..."
"41. Science technologies/technicians","1,455","1,100","46,800","54,800","1,010","48,400","58,100"
"41.00 Science technologies/technicians, general","1,315","990","47,600","55,900","905","49,600","59,500"
"41.01 Biology and biotechnology technologies/technicians","80","75","44,000","42,000","70","46,800","44,000"
"41.02 Nuclear and industrial radiologic technologies/technicians","55","35","31,000","52,000","35","27,400","52,000"
"41.03 Physical science technologies/technicians","0","0","...","...","0","...","..."
"41.99 Science technologies/technicians, other","0","0","...","...","0","...","..."
"Mathematics, computer and information sciences","279,320","230,375","66,500","78,700","216,595","69,500","81,100"
"11. Computer and information sciences and support services","203,065","174,590","69,000","79,100","165,480","71,500","81,400"
"11.01 Computer and information sciences and support services, general","41,350","35,565","57,600","65,400","33,625","60,000","67,300"
"11.02 Computer programming","2,815","2,390","55,600","62,550","2,235","57,600","64,700"
"11.03 Data processing and data processing technology/technician","0","0","...","...","0","...","..."
"11.04 Information science/studies","725","620","60,800","97,200","600","62,800","99,600"
"11.05 Computer systems analysis/analyst","690","570","65,000","62,000","530","67,500","65,200"
"11.06 Data entry/microcomputer applications","0","0","...","...","0","...","..."
"11.07 Computer science","145,805","125,305","75,000","85,100","119,035","77,000","87,400"
"11.08 Computer software and media applications","2,450","2,220","46,000","62,550","2,045","48,400","65,400"
"11.09 Computer systems networking and telecommunications","250","215","47,200","50,800","185","51,200","54,400"
"11.10 Computer/information technology administration and management","4,260","3,770","61,200","67,000","3,570","64,000","69,300"
"11.99 Computer and information sciences and support services, other","4,725","3,935","34,400","45,240","3,650","36,400","47,520"
"25. Library science","3,130","1,595","31,400","37,080","1,450","37,200","39,960"
"25.01 Library science and administration","3,110","1,585","31,400","37,000","1,440","37,200","39,920"
"25.03 Library and archives assisting","0","0","...","...","0","...","..."
"25.99 Library science, other","15","0","...","...","0","...","..."
"27. Mathematics and statistics","61,935","45,335","58,000","77,000","41,430","61,600","80,000"
"27.01 Mathematics","48,135","34,430","60,400","81,600","31,500","65,000","84,600"
"27.03 Applied mathematics","4,040","3,145","56,800","67,900","2,845","62,400","72,600"
"27.05 Statistics","9,530","7,590","47,600","60,400","6,925","51,600","62,200"
"27.06 Applied statistics","110","60","41,600","46,000","55","46,000","48,000"
"27.99 Mathematics and statistics, other","125","115","54,800","64,000","110","57,600","65,000"
"30D Interdisciplinary mathematics, computer and information sciences","11,195","8,850","73,000","85,200","8,235","77,000","87,500"
"30.06 Systems science and theory","0","0","...","...","0","...","..."
"30.08 Mathematics and computer science","7,905","6,225","80,000","89,600","5,815","83,000","92,000"
"30.30 Computational science","200","150","86,000","80,000","145","84,000","79,000"
"30.39 Economics and computer science","705","570","89,000","100,800","535","89,000","103,200"
"30.48 Linguistics and computer science","80","70","70,000","76,000","65","70,000","80,000"
"30.49 Mathematical economics","2,045","1,645","55,600","69,900","1,505","58,400","71,100"
"30.70 Data science","140","95","28,600","46,000","85","30,800","48,000"
"30.71 Data analytics","110","95","16,000","23,600","80","17,400","24,800"
"Architecture, engineering, and related trades","634,585","523,695","66,500","80,900","490,845","70,000","84,200"
"04. Architecture and related services","46,390","36,925","49,600","62,700","32,810","54,000","66,100"
"04.02 Architecture","28,510","21,660","47,200","60,400","18,945","52,400","63,950"
"04.03 City/urban, community and regional planning","10,470","9,145","60,800","73,500","8,540","62,400","75,500"
"04.04 Environmental design/architecture","3,000","2,520","33,600","45,240","2,220","38,400","48,320"
"04.05 Interior architecture","510","395","34,400","41,800","325","40,800","47,000"
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","3,275","2,645","56,000","64,900","2,260","63,600","71,100"
"04.08 Architectural history, criticism, and conservation","375","330","34,400","46,800","315","32,400","46,800"
"04.09 Architectural sciences and technology","255","235","55,600","70,000","215","56,800","73,500"
"04.10 Real estate development","0","0","...","...","0","...","..."
"04.99 Architecture and related services, other","0","0","...","...","0","...","..."
"14. Engineering","566,395","468,755","69,000","83,100","441,255","72,000","86,300"
"14.01 General engineering","137,255","112,925","81,000","98,700","106,310","84,000","102,400"
"14.02 Aerospace, aeronautical and astronautical/space engineering","5,865","5,095","64,500","74,900","4,870","66,000","76,500"
"14.03 Agricultural engineering","4,285","3,270","40,800","49,800","2,870","46,000","54,300"
"14.04 Architectural engineering","1,455","950","32,000","44,400","875","33,600","45,900"
"14.05 Biomedical/medical engineering","2,865","2,400","40,800","49,840","2,300","44,000","50,960"
"14.06 Ceramic sciences and engineering","90","60","46,000","68,000","60","46,000","68,000"
"14.07 Chemical engineering","29,900","24,100","67,500","87,400","22,920","70,000","90,000"
"14.08 Civil engineering","69,930","56,470","61,600","72,600","52,480","65,000","76,300"
"14.09 Computer engineering","48,320","42,915","77,000","88,300","41,200","78,500","90,100"
"14.10 Electrical, electronics and communications engineering","101,640","83,115","70,000","79,600","78,020","73,500","83,100"
"14.11 Engineering mechanics","180","155","43,200","63,000","145","44,800","67,000"
"14.12 Engineering physics/applied physics","3,545","2,895","71,500","77,800","2,770","73,000","79,900"
"14.13 Engineering science","1,350","1,130","86,000","113,200","1,095","88,000","115,400"
"14.14 Environmental/environmental health engineering","3,325","2,945","59,600","64,100","2,775","62,000","67,000"
"14.18 Materials engineering","2,615","2,165","57,600","69,600","2,040","60,800","72,400"
"14.19 Mechanical engineering","93,125","78,085","65,000","76,700","73,775","67,500","79,400"
"14.20 Metallurgical engineering","1,695","1,210","59,200","93,200","1,110","61,600","96,400"
"14.21 Mining and mineral engineering","4,070","3,300","85,000","133,400","3,115","90,000","138,800"
"14.22 Naval architecture and marine engineering","2,130","1,720","50,800","67,600","1,605","52,400","70,300"
"14.23 Nuclear engineering","670","590","79,000","84,800","565","79,500","87,200"
"14.24 Ocean engineering","30","25","x","80,000","20","x","80,000"
"14.25 Petroleum engineering","2,900","2,320","50,000","86,600","2,105","58,000","92,700"
"14.27 Systems engineering","1,865","1,670","80,000","94,500","1,575","83,000","96,600"
"14.28 Textile sciences and engineering","945","655","26,400","34,800","515","36,400","41,000"
"14.32 Polymer/plastics engineering","195","130","46,400","46,000","120","42,000","45,000"
"14.33 Construction engineering","4,735","3,965","60,400","66,300","3,710","63,600","69,600"
"14.34 Forest engineering","2,065","1,595","61,600","68,500","1,465","68,000","73,300"
"14.35 Industrial engineering","13,600","11,585","56,400","69,900","10,875","59,200","72,300"
"14.36 Manufacturing engineering","2,510","2,305","69,500","71,700","2,220","72,000","73,800"
"14.37 Operations research","385","290","52,800","61,200","265","58,000","64,500"
